symbol,period,mult,period_label,sharpe,drawdown,trades,win_rate,expectancy
RELIANCE,60,12.0,Apr-2025,-5952.124046319108,0.0088935294250055,8,50.0,21.87812749999996
RELIANCE,60,12.8,Apr-2025,-6609.255014134754,0.005745733979024,7,57.14285714285714,23.162877142857152
RELIANCE,60,14.4,Apr-2025,-6704.339278149699,0.0059622383384087,4,50.0,26.837367499999974
RELIANCE,60,16.4,Apr-2025,-6953.851946433777,0.0056837606762734,4,50.0,22.937227499999945
RELIANCE,60,16.6,Apr-2025,-6986.895298159315,0.0056837851157817,4,50.0,22.399619999999977
RELIANCE,60,12.0,Feb-2025,-11020.886415098392,0.0117933473080573,7,28.57142857142857,-1.7739214285714358
RELIANCE,60,12.8,Feb-2025,-11923.124943000315,0.010309258149413,5,40.0,0.7207119999999376
RELIANCE,60,14.4,Feb-2025,-12114.300274726957,0.0122091891106388,5,40.0,-1.4893379999999636
RELIANCE,60,16.4,Feb-2025,-13044.617844146524,0.0095470555215317,4,50.0,-1.9712399999999648
RELIANCE,60,16.6,Feb-2025,-13052.21203974703,0.0095870638818249,4,50.0,-2.0587574999999427
RELIANCE,60,12.8,Jan-2025,-7853.724577238413,0.0168840751753946,10,30.0,0.5828970000000151
RELIANCE,60,12.0,Jan-2025,-7882.379810259239,0.0143145423158539,11,27.27272727272727,1.5075145454545569
RELIANCE,60,14.4,Jan-2025,-8377.49792415896,0.0161072276547455,6,33.33333333333333,-0.998605000000044
RELIANCE,60,16.4,Jan-2025,-8570.666146786514,0.0095315005006522,4,50.0,5.760447499999932
RELIANCE,60,16.6,Jan-2025,-8570.666146786514,0.0095315005006522,4,50.0,5.760447499999932
RELIANCE,60,14.4,July-2025,-10213.15599535516,0.0118871389627118,6,33.33333333333333,-5.357083333333334
RELIANCE,60,12.8,July-2025,-10251.374817585964,0.0097400368679826,7,28.57142857142857,-2.534277142857111
RELIANCE,60,12.0,July-2025,-10257.72313868366,0.0089200642308197,7,28.57142857142857,-1.9057057142857656
RELIANCE,60,16.6,July-2025,-10273.417097599497,0.0143869779033077,6,16.666666666666664,-7.540359999999984
RELIANCE,60,16.4,July-2025,-10303.690003458874,0.0143669827790207,6,16.666666666666664,-7.523696666666666
RELIANCE,60,14.4,June-2025,-8310.281013172538,0.009341226844707,8,37.5,-1.5132074999999716
RELIANCE,60,12.8,June-2025,-8533.991273905674,0.0075412069338494,9,44.44444444444444,6.266622222222212
RELIANCE,60,16.6,June-2025,-8626.839320861076,0.012058679676343,7,28.57142857142857,-4.447071428571449
RELIANCE,60,16.4,June-2025,-8632.895136833833,0.0116386049112918,7,28.57142857142857,-4.275631428571442
RELIANCE,60,12.0,June-2025,-8654.108453235935,0.0101465190632914,11,36.36363636363637,3.695138181818182
RELIANCE,60,12.0,Mar-2025,-8274.502248491848,0.0097077449956445,7,28.57142857142857,12.147368571428569
RELIANCE,60,12.8,Mar-2025,-8667.611858231108,0.0045889953201366,4,75.0,30.33690750000004
RELIANCE,60,14.4,Mar-2025,-8691.275735668609,0.0053986068493074,4,75.0,28.461637499999977
RELIANCE,60,16.6,Mar-2025,-9169.606578130672,0.007688421034906,4,50.0,23.8114175
RELIANCE,60,16.4,Mar-2025,-9170.321027285552,0.0076584321249663,4,50.0,23.886402499999985
RELIANCE,60,12.0,May-2025,-10205.296055849309,0.0099537092617725,10,40.0,-0.7485160000000173
RELIANCE,60,14.4,May-2025,-10215.555837775804,0.0090669182995394,6,50.0,1.9978799999999763
RELIANCE,60,12.8,May-2025,-10427.127056390676,0.0111534289122474,9,33.33333333333333,-0.5684666666666915
RELIANCE,60,16.4,May-2025,-11567.710610667513,0.0065339119427785,4,75.0,8.530959999999967
RELIANCE,60,16.6,May-2025,-11581.853179847049,0.0065339119427785,4,75.0,8.530959999999967
