period,mult,vol_bin,trades,exp,win_rate
60,12.0,LOW,24,-0.6250000000000282,25.0
60,12.0,MID,19,8.592105263157906,42.10526315789473
60,12.0,HIGH,18,9.36666666666665,44.44444444444444
60,12.8,LOW,20,-1.3924999999999952,25.0
60,12.8,MID,17,9.152941176470609,47.05882352941176
60,12.8,HIGH,14,16.167857142857105,57.14285714285714
60,14.4,LOW,12,-2.754166666666682,25.0
60,14.4,MID,13,6.165384615384657,53.84615384615385
60,14.4,HIGH,14,10.685714285714246,57.14285714285714
60,16.4,LOW,8,-4.781250000000028,25.0
60,16.4,MID,11,7.268181818181822,45.45454545454545
60,16.4,HIGH,14,9.839285714285682,50.0
60,16.6,LOW,8,-4.9187500000000455,25.0
60,16.6,MID,11,7.15909090909093,45.45454545454545
60,16.6,HIGH,14,9.710714285714273,50.0
