symbol,entry_dt,entry_price,exit_dt,exit_price,size,pnl
ICICIBANK,2025-07-02 09:16:00,1445.0,2025-07-02 09:17:00,1449.8,1,4.7999999999999545
ICICIBANK,2025-07-03 09:16:00,1434.7,2025-07-03 09:17:00,1438.6,1,3.8999999999998636
ICICIBANK,2025-07-04 13:57:00,1431.2,2025-07-04 14:10:00,1435.0,1,3.7999999999999545
ICICIBANK,2025-07-07 15:20:00,1436.2,2025-07-08 09:43:00,1440.2,1,4.0
ICICIBANK,2025-07-09 12:26:00,1435.2,2025-07-10 10:06:00,1430.4,1,-4.7999999999999545
ICICIBANK,2025-07-11 12:44:00,1422.1,2025-07-14 09:28:00,1418.2,1,-3.8999999999998636
ICICIBANK,2025-07-14 13:30:00,1423.3,2025-07-15 12:36:00,1426.9,1,3.6000000000001364
INFY,2025-07-01 09:31:00,1612.7,2025-07-02 09:16:00,1635.8,1,23.09999999999991
INFY,2025-07-03 09:16:00,1622.4,2025-07-03 09:19:00,1628.8,1,6.399999999999864
INFY,2025-07-04 12:44:00,1631.2,2025-07-04 14:37:00,1637.2,1,6.0
INFY,2025-07-08 12:20:00,1635.0,2025-07-08 12:46:00,1640.0,1,5.0
INFY,2025-07-11 10:12:00,1602.2,2025-07-14 09:16:00,1580.2,1,-22.0
INFY,2025-07-14 09:16:00,1580.2,2025-07-14 09:18:00,1572.3,-1,7.900000000000091
INFY,2025-07-15 09:16:00,1582.1,2025-07-15 10:38:00,1587.0,1,4.900000000000091
RELIANCE,2025-06-30 09:23:00,1516.5,2025-06-30 09:28:00,1520.6,1,4.099999999999909
RELIANCE,2025-06-30 15:07:00,1502.0,2025-07-01 09:19:00,1506.4,1,4.400000000000091
RELIANCE,2025-07-01 10:39:00,1520.9,2025-07-01 12:12:00,1524.9,1,4.0
RELIANCE,2025-07-01 15:23:00,1529.7,2025-07-02 09:31:00,1522.3,1,-7.400000000000091
RELIANCE,2025-07-02 15:00:00,1517.1,2025-07-03 09:46:00,1523.0,1,5.900000000000091
RELIANCE,2025-07-03 15:18:00,1522.1,2025-07-04 10:52:00,1526.4,1,4.300000000000182
RELIANCE,2025-07-04 14:37:00,1526.5,2025-07-07 09:16:00,1533.5,1,7.0
RELIANCE,2025-07-08 10:54:00,1539.5,2025-07-08 12:41:00,1534.4,1,-5.099999999999909
RELIANCE,2025-07-08 15:08:00,1536.5,2025-07-08 15:19:00,1543.2,1,6.7000000000000455
RELIANCE,2025-07-09 09:57:00,1543.4,2025-07-09 10:40:00,1547.3,1,3.8999999999998636
RELIANCE,2025-07-10 12:31:00,1514.1,2025-07-10 14:07:00,1519.5,1,5.400000000000091
RELIANCE,2025-07-11 15:02:00,1496.7,2025-07-14 09:16:00,1490.2,1,-6.5
RELIANCE,2025-07-14 09:55:00,1496.7,2025-07-14 11:20:00,1490.7,1,-6.0
RELIANCE,2025-07-14 15:00:00,1486.7,2025-07-15 09:18:00,1490.5,1,3.7999999999999545
RELIANCE,2025-07-15 11:02:00,1492.9,2025-07-15 13:26:00,1487.8,1,-5.100000000000136
RELIANCE,2025-07-15 15:22:00,1488.8,2025-07-16 09:16:00,1474.8,1,-14.0
RELIANCE,2025-07-16 12:12:00,1483.3,2025-07-16 14:19:00,1487.5,1,4.2000000000000455
