fast,ratio,slow,sharpe,max_dd,trades,win%
460,1.4,644,0.0031,1.9175,43,44.2
440,1.5,660,0.0029,1.933,43,46.5
420,1.6,672,0.0027,1.9402,44,45.5
440,1.4,616,0.0021,1.9391,45,40.0
420,1.5,630,0.0019,1.9172,45,40.0
440,1.6,704,0.0019,1.9262,43,44.2
460,1.3,598,0.0018,1.1347,46,39.1
400,1.5,600,0.0017,1.8888,48,39.6
400,1.6,640,0.0016,1.9195,45,40.0
420,1.4,588,0.0013,1.9212,48,39.6
460,1.5,690,0.0005,1.9383,43,37.2
460,1.6,736,0.0,1.9574,44,38.6
400,1.4,560,-0.0012,1.7516,52,40.4
440,1.3,572,-0.0015,1.5934,49,34.7
420,1.3,546,-0.0017,1.825,52,40.4
400,1.3,520,-0.0023,2.0494,52,34.6
