ratio,fast,slow,sharpe,max_dd,trades,win%
4.0,200,800,0.0132,0.3654,56,44.6
3.3,280,924,0.0124,0.4219,44,47.7
1.5,640,960,0.0121,0.4246,27,63.0
3.5,200,700,0.0121,0.3414,57,40.4
4.0,240,960,0.012,0.3973,47,44.7
2.5,240,600,0.0119,0.4322,57,43.9
3.5,240,840,0.0119,0.378,49,42.9
3.5,280,980,0.0118,0.4254,41,51.2
2.5,320,800,0.0116,0.4234,44,45.5
2.0,320,640,0.0115,0.388,48,45.8
3.0,280,840,0.0115,0.4005,47,42.6
3.0,320,960,0.0112,0.4759,41,48.8
2.0,480,960,0.0111,0.4247,33,54.5
3.3,240,792,0.0111,0.4135,49,44.9
2.5,280,700,0.011,0.4042,49,46.9
3.0,240,720,0.0107,0.417,49,40.8
3.3,200,660,0.0107,0.4099,62,37.1
3.3,320,1056,0.0107,0.4401,37,48.6
4.0,280,1120,0.0102,0.4292,39,43.6
1.5,480,720,0.0101,0.51,41,51.2
3.5,320,1120,0.0099,0.4272,37,45.9
2.0,280,560,0.0093,0.5854,56,41.1
3.5,480,1680,0.0078,0.531,24,45.8
3.0,200,600,0.0067,0.7237,67,40.3
4.0,320,1280,0.0067,0.4842,34,41.2
4.0,160,640,0.0065,0.6865,72,34.7
2.5,200,500,0.006,0.6844,79,40.5
2.5,640,1600,0.0058,0.6816,23,43.5
2.0,800,1600,0.0057,0.812,22,45.5
3.3,480,1584,0.0057,0.4538,26,42.3
3.3,160,528,0.0047,0.6946,85,34.1
3.5,160,560,0.0046,0.6878,83,34.9
1.5,800,1200,0.0021,0.7155,24,45.8
3.0,80,240,0.0003,0.5762,170,42.4
1.5,280,420,0.0001,0.9844,74,45.9
2.5,480,1200,-0.0006,1.1779,28,50.0
1.5,320,480,-0.0007,0.8911,62,43.5
4.0,120,480,-0.0007,0.8381,100,29.0
2.0,120,240,-0.0013,0.9362,145,39.3
1.5,80,120,-0.0023,0.9691,256,46.9
2.0,240,480,-0.0029,1.045,76,43.4
3.0,480,1440,-0.003,1.4913,27,44.4
1.5,160,240,-0.0037,1.1845,125,42.4
1.5,200,300,-0.0043,1.2322,99,39.4
4.0,480,1920,-0.0044,1.0019,22,45.5
2.0,640,1280,-0.0048,1.6931,26,42.3
2.0,80,160,-0.005,1.2713,223,43.9
2.0,160,320,-0.0054,1.3626,105,35.2
2.5,80,200,-0.0055,1.544,193,42.5
3.0,640,1920,-0.0057,1.0005,21,38.1
2.5,120,300,-0.0064,1.4313,124,40.3
3.5,80,280,-0.0071,1.3833,163,37.4
1.5,240,360,-0.0072,1.4001,87,35.6
4.0,80,320,-0.0075,1.4744,148,35.1
2.5,160,400,-0.0079,1.6058,100,38.0
3.0,120,360,-0.0082,1.6708,114,34.2
3.3,640,2112,-0.0083,1.2923,21,38.1
2.5,800,2000,-0.0084,1.5383,19,36.8
3.0,160,480,-0.0084,1.5933,89,34.8
3.3,120,396,-0.0084,1.6424,111,35.1
3.5,120,420,-0.0084,1.6257,106,34.9
2.0,200,400,-0.0086,1.5952,87,35.6
3.3,80,264,-0.0089,1.5957,165,37.6
3.5,640,2240,-0.009,1.4023,20,35.0
1.5,120,180,-0.0106,1.824,178,39.3
3.0,800,2400,-0.0109,1.7516,19,26.3
3.3,800,2640,-0.0112,1.729,18,22.2
4.0,800,3200,-0.0117,1.8169,16,18.8
4.0,640,2560,-0.0119,1.7367,20,25.0
3.5,800,2800,-0.0129,1.9179,18,22.2
