symbol,atr_mean,sharpe,drawdown,trades,win_rate,expectancy,fast,mid1,mid2,mid3,adx_period,adx_threshold,atr_period,atr_mult,sl_mode,sl_value,use_sl_tg,use_trailing,trail_atr_mult,use_signal_exit,reentry_cooldown,ignore_before,tg_mode,tg1,tg2,tg3
LODHA,1.4424248662000914,0.30151134457776363,4.679779843044864e-05,0,0.0,0.0,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,,OFF,0.0,0.0,0.0
IRFC,0.14640386990531015,0.30151134457776363,2.019996997842528e-06,0,0.0,0.0,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,,OFF,0.0,0.0,0.0
TATAMOTORS,0.5316488266776487,0.3015113445777636,1.3999985663127513e-06,0,0.0,0.0,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,,OFF,0.0,0.0,0.0
ETERNAL,0.28035199670646294,,0.0,0,0.0,0.0,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,,OFF,0.0,0.0,0.0
HAVELLS,1.0055578427336442,,0.0,0,0.0,0.0,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,,OFF,0.0,0.0,0.0
DLF,0.5939275421984405,-0.30151134457776363,5.47995287312714e-05,0,0.0,0.0,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,,OFF,0.0,0.0,0.0
MARUTI,6.726636475916015,-0.3015113445777636,0.00014011657919597926,1,0.0,-63.530000000000655,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,,OFF,0.0,0.0,0.0
ADANIGREEN,0.8633799917661705,,0.0,0,0.0,0.0,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,,OFF,0.0,0.0,0.0
SHREECEM,26.69308357348703,0.3015113445777637,0.0002499407195600162,0,0.0,0.0,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,,OFF,0.0,0.0,0.0
ITC,0.17389872375462764,0.30151134457776363,2.6999936986085557e-06,0,0.0,0.0,80,320,1200,3800,14,20.0,14,1.0,PCT,0.5,True,False,3.0,True,0,,OFF,0.0,0.0,0.0
