symbol,window,period,mult,vol_baseline,sharpe,drawdown,trades,win_rate,expectancy
AXISBANK,Dec-2024,20,1.4,1.027104,-0.041532,0.042352,257,29.18,-0.720390
AXISBANK,Dec-2024,20,1.6,1.027104,-0.038309,0.039172,217,28.11,-0.787178
AXISBANK,Dec-2024,20,1.8,1.027104,-0.034029,0.036558,188,28.72,-0.803818
AXISBANK,Dec-2024,20,2.0,1.027104,-0.044187,0.043716,171,23.98,-1.108839
AXISBANK,Dec-2024,20,2.2,1.027104,-0.034809,0.037165,144,27.08,-1.052851
AXISBANK,Dec-2024,20,2.4,1.027104,-0.027444,0.031835,126,26.19,-0.974187
AXISBANK,Dec-2024,20,2.6,1.027104,-0.026499,0.029394,113,28.32,-1.051405
AXISBANK,Dec-2024,20,2.8,1.027104,-0.020274,0.025873,101,27.72,-0.903548
AXISBANK,Dec-2024,20,3.0,1.027104,-0.022826,0.027001,92,27.17,-1.106881
AXISBANK,Dec-2024,30,1.4,1.027104,-0.041001,0.041303,260,29.23,-0.706740
