symbol,period_label,warmup,start,end,st_period,st_mult,sharpe,drawdown,trades,win_rate
AXISBANK,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,20,3,-0.007068791541644245,0.004499958600450726,53,35.84905660377358
HDFCBANK,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,20,3,-0.005650600791542247,0.009839809107670712,61,32.78688524590164
ICICIBANK,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,20,3,-0.015163279015810664,0.009799856922100574,59,25.423728813559322
INFY,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,20,3,-0.019062064088067033,0.02375946303616798,73,35.61643835616438
KOTAKBANK,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,20,3,-0.0016957556005607218,0.017137580173635245,65,36.92307692307693
MARUTI,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,20,3,-0.004101758944558275,0.06697669211114532,61,36.0655737704918
NIFTY 50,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,20,3,-0.020734804077224844,0.11021706051711158,73,32.87671232876712
NIFTY BANK,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,20,3,-0.018118497019264473,0.2299149583589642,65,30.76923076923077
RELIANCE,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,20,3,-0.008333087135891067,0.007279855858835369,63,31.746031746031743
SBIN,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,20,3,-0.004316854696614585,0.00515997523213984,61,27.86885245901639
SUNPHARMA,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,20,3,-0.004119995993132388,0.008019727329301075,72,38.88888888888889
TATAMOTORS,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,20,3,-0.004706280339339719,0.00539984826432198,58,34.48275862068966
TCS,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,20,3,-0.01743452152949682,0.04215525331849729,64,29.6875
TECHM,July-2025,2025-06-25 00:00:00,2025-07-01 00:00:00,2025-07-17 23:59:59,20,3,-0.00996234373517144,0.01461949708929547,54,37.03703703703704
